PTS_HOME,PTS_AWAY,TEAM_NAME_HOME,TEAM_NAME_AWAY,GAME_DATE
93,108,Toronto Raptors,Utah Jazz,1998-03-03
122,88,Cleveland Cavaliers,Toronto Raptors,1998-03-04
113,91,Minnesota Timberwolves,Toronto Raptors,1998-03-06
113,106,Vancouver Grizzlies,Toronto Raptors,1998-03-08
111,93,Seattle SuperSonics,Toronto Raptors,1998-03-10
152,120,Los Angeles Clippers,Toronto Raptors,1998-03-13
98,100,Golden State Warriors,Toronto Raptors,1998-03-15
105,117,Toronto Raptors,Atlanta Hawks,1998-03-17
104,103,Toronto Raptors,Denver Nuggets,1998-03-19
105,99,Detroit Pistons,Toronto Raptors,1998-03-20
100,102,Toronto Raptors,Chicago Bulls,1998-03-22
89,106,Toronto Raptors,Charlotte Hornets,1998-03-24
96,97,Toronto Raptors,Cleveland Cavaliers,1998-03-26
68,95,Toronto Raptors,Orlando Magic,1998-03-29
105,114,Toronto Raptors,Los Angeles Lakers,1998-03-31
105,91,Atlanta Hawks,Toronto Raptors,1998-04-01
120,112,Washington Wizards,Toronto Raptors,1998-04-03
116,104,Philadelphia 76ers,Toronto Raptors,1998-04-05
114,105,Milwaukee Bucks,Toronto Raptors,1998-04-07
100,107,Toronto Raptors,Milwaukee Bucks,1998-04-08
105,111,Toronto Raptors,Miami Heat,1998-04-10
109,116,Toronto Raptors,New Jersey Nets,1998-04-12
92,96,New Jersey Nets,Toronto Raptors,1998-04-14
108,79,New York Knicks,Toronto Raptors,1998-04-16
107,98,Indiana Pacers,Toronto Raptors,1998-04-17
78,107,Toronto Raptors,Philadelphia 76ers,1998-04-19
92,103,Boston Celtics,Toronto Raptors,1999-02-05
98,97,Washington Wizards,Toronto Raptors,1999-02-06
77,91,Toronto Raptors,Milwaukee Bucks,1999-02-09
102,84,Miami Heat,Toronto Raptors,1999-02-11
95,85,New York Knicks,Toronto Raptors,1999-02-16
88,95,Toronto Raptors,Washington Wizards,1999-02-18
90,82,Toronto Raptors,Milwaukee Bucks,1999-02-19
102,87,Toronto Raptors,Vancouver Grizzlies,1999-02-21
106,80,Detroit Pistons,Toronto Raptors,1999-02-23
104,84,Indiana Pacers,Toronto Raptors,1999-02-24
102,92,Toronto Raptors,Minnesota Timberwolves,1999-02-26
88,90,Toronto Raptors,Chicago Bulls,1999-02-28
91,88,Charlotte Hornets,Toronto Raptors,1999-03-01
77,86,Atlanta Hawks,Toronto Raptors,1999-03-04
84,89,Toronto Raptors,Orlando Magic,1999-03-05
105,92,Toronto Raptors,Boston Celtics,1999-03-07
83,73,Miami Heat,Toronto Raptors,1999-03-11
86,75,Atlanta Hawks,Toronto Raptors,1999-03-13
89,82,Toronto Raptors,Charlotte Hornets,1999-03-15
100,85,Toronto Raptors,New Jersey Nets,1999-03-16
101,103,Detroit Pistons,Toronto Raptors,1999-03-17
93,82,Toronto Raptors,Los Angeles Clippers,1999-03-19
85,81,Toronto Raptors,New York Knicks,1999-03-21
106,87,New Jersey Nets,Toronto Raptors,1999-03-22
90,113,Chicago Bulls,Toronto Raptors,1999-03-23
113,104,Houston Rockets,Toronto Raptors,1999-03-25
91,93,San Antonio Spurs,Toronto Raptors,1999-03-26
91,78,Toronto Raptors,Chicago Bulls,1999-03-28
91,101,Cleveland Cavaliers,Toronto Raptors,1999-03-30
88,87,Toronto Raptors,Indiana Pacers,1999-04-01
87,85,Toronto Raptors,Washington Wizards,1999-04-03
97,82,Toronto Raptors,Philadelphia 76ers,1999-04-04
70,92,Toronto Raptors,Miami Heat,1999-04-06
89,101,Toronto Raptors,Boston Celtics,1999-04-08
106,99,New Jersey Nets,Toronto Raptors,1999-04-09
99,109,Toronto Raptors,Indiana Pacers,1999-04-12
96,78,Philadelphia 76ers,Toronto Raptors,1999-04-14
90,91,Toronto Raptors,Cleveland Cavaliers,1999-04-16
90,93,New York Knicks,Toronto Raptors,1999-04-17
90,72,Toronto Raptors,Orlando Magic,1999-04-19
81,103,Toronto Raptors,Atlanta Hawks,1999-04-20
91,107,Washington Wizards,Toronto Raptors,1999-04-21
88,95,Orlando Magic,Toronto Raptors,1999-04-23
83,91,Toronto Raptors,Detroit Pistons,1999-04-25
98,108,Toronto Raptors,Charlotte Hornets,1999-04-27
115,102,Milwaukee Bucks,Toronto Raptors,1999-04-28
