PLUS_MINUS_HOME,PLUS_MINUS_AWAY,TEAM_NAME_HOME,TEAM_NAME_AWAY
-16,16,Toronto Raptors,Boston Celtics
6,-6,Milwaukee Bucks,Toronto Raptors
2,-2,Toronto Raptors,Denver Nuggets
-1,1,Toronto Raptors,Phoenix Suns
13,-13,San Antonio Spurs,Toronto Raptors
14,-14,Charlotte Hornets,Toronto Raptors
-5,5,Toronto Raptors,Washington Wizards
-12,12,Indiana Pacers,Toronto Raptors
5,-5,Toronto Raptors,Chicago Bulls
7,-7,Toronto Raptors,Miami Heat
8,-8,New York Knicks,Toronto Raptors
-3,3,Los Angeles Lakers,Toronto Raptors
26,-26,Seattle SuperSonics,Toronto Raptors
-11,11,Portland Trail Blazers,Toronto Raptors
10,-10,Toronto Raptors,Cleveland Cavaliers
-20,20,Toronto Raptors,Los Angeles Lakers
3,-3,Memphis Grizzlies,Toronto Raptors
-12,12,Chicago Bulls,Toronto Raptors
3,-3,Toronto Raptors,Atlanta Hawks
-7,7,Toronto Raptors,Los Angeles Clippers
-2,2,Detroit Pistons,Toronto Raptors
6,-6,Toronto Raptors,Houston Rockets
12,-12,Toronto Raptors,New Jersey Nets
-2,2,Charlotte Hornets,Toronto Raptors
9,-9,Boston Celtics,Toronto Raptors
-4,4,Toronto Raptors,New York Knicks
7,-7,Toronto Raptors,Minnesota Timberwolves
9,-9,Toronto Raptors,Orlando Magic
5,-5,Toronto Raptors,Boston Celtics
7,-7,New Jersey Nets,Toronto Raptors
-7,7,Philadelphia 76ers,Toronto Raptors
5,-5,Washington Wizards,Toronto Raptors
6,-6,Toronto Raptors,San Antonio Spurs
18,-18,Cleveland Cavaliers,Toronto Raptors
7,-7,New York Knicks,Toronto Raptors
-9,9,Toronto Raptors,Utah Jazz
-5,5,Toronto Raptors,Milwaukee Bucks
13,-13,Detroit Pistons,Toronto Raptors
-1,1,Toronto Raptors,Charlotte Hornets
-8,8,Toronto Raptors,Detroit Pistons
-9,9,Toronto Raptors,Seattle SuperSonics
-5,5,Toronto Raptors,Orlando Magic
-10,10,Toronto Raptors,Portland Trail Blazers
-12,12,Toronto Raptors,Philadelphia 76ers
3,-3,Houston Rockets,Toronto Raptors
19,-19,Dallas Mavericks,Toronto Raptors
-9,9,Miami Heat,Toronto Raptors
13,-13,Orlando Magic,Toronto Raptors
